2025-03-16 13:55:28.378 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-03-16 13:55:28.378 [info] Added views:workbench.panel.chat.view.edits in workbench.panel.chatEditing
2025-03-16 13:55:28.378 [info] Added views:outline in workbench.view.explorer
2025-03-16 13:55:28.378 [info] Added views:workbench.view.search in workbench.view.search
2025-03-16 13:55:28.378 [info] Added views:workbench.scm in workbench.view.scm
2025-03-16 13:55:28.378 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-03-16 13:55:28.378 [info] Added views:workbench.panel.output in workbench.panel.output
2025-03-16 13:55:28.378 [info] Added views:terminal in terminal
2025-03-16 13:55:28.378 [info] Added views:timeline in workbench.view.explorer
2025-03-16 13:55:28.378 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-03-16 13:55:28.532 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-16 13:55:28.961 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-03-16 13:55:29.314 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-03-16 17:15:35.333 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:15:35.335 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:15:39.274 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:15:39.275 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:15:39.680 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:15:49.482 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:15:49.881 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:15:49.882 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:15:50.284 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:24:24.141 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:24:24.543 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:24:24.547 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:24:25.407 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:24:25.408 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:24:25.812 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 17:27:33.523 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 17:27:39.410 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 18:43:40.819 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 18:47:45.052 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 20:31:22.039 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 20:33:23.278 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 20:33:23.280 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 20:33:23.688 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 20:36:41.906 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 20:36:42.305 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 20:36:42.308 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 20:36:42.710 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 20:36:57.945 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 20:36:58.249 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 20:36:58.653 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 20:36:58.960 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-16 20:36:59.310 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-16 20:36:59.614 [info] Added views:CppReferencesView in workbench.view.extension.references-view
